value,formattedValue,link,topic_mid,topic_title,topic_type
1164250,Aumento puntual,/trends/explore?q=/g/11bw1yz3m_&date=today+5-y&geo=CO,/g/11bw1yz3m_,Claro,Tema
1078150,Aumento puntual,/trends/explore?q=/g/11b6t1k1ml&date=today+5-y&geo=CO,/g/11b6t1k1ml,Tigo,Colombia
873050,Aumento puntual,/trends/explore?q=/g/11bbrlh9_r&date=today+5-y&geo=CO,/g/11bbrlh9_r,une,Tema
539850,Aumento puntual,/trends/explore?q=/g/1hc0gz_j3&date=today+5-y&geo=CO,/g/1hc0gz_j3,Movistar,Colombia
319850,Aumento puntual,/trends/explore?q=/g/11ptwy_c30&date=today+5-y&geo=CO,/g/11ptwy_c30,iPhone 14,Teléfono móvil
314500,Aumento puntual,/trends/explore?q=/m/04st9hr&date=today+5-y&geo=CO,/m/04st9hr,Apple,Tema
296750,Aumento puntual,/trends/explore?q=/g/11h7hw3b53&date=today+5-y&geo=CO,/g/11h7hw3b53,WOM,Colombia
252750,Aumento puntual,/trends/explore?q=/g/11s9c6h69c&date=today+5-y&geo=CO,/g/11s9c6h69c,IPhone 14 Pro,Teléfono móvil
215300,Aumento puntual,/trends/explore?q=/g/1q6h_chrj&date=today+5-y&geo=CO,/g/1q6h_chrj,Tarjeta de prepago,Tema
195450,Aumento puntual,/trends/explore?q=/g/11np0c47tj&date=today+5-y&geo=CO,/g/11np0c47tj,IPhone 13,Teléfono móvil
194800,Aumento puntual,/trends/explore?q=/g/11j66y_wh1&date=today+5-y&geo=CO,/g/11j66y_wh1,Holafly,Tema
157550,Aumento puntual,/trends/explore?q=/g/1ym_05c8f&date=today+5-y&geo=CO,/g/1ym_05c8f,AT&T,Tema
154900,Aumento puntual,/trends/explore?q=/m/0260dy&date=today+5-y&geo=CO,/m/0260dy,IMEI,Tema
144750,Aumento puntual,/trends/explore?q=/m/0hnbsn3&date=today+5-y&geo=CO,/m/0hnbsn3,Samsung Galaxy,Teléfono móvil
143900,Aumento puntual,/trends/explore?q=/g/11fmzcj1r3&date=today+5-y&geo=CO,/g/11fmzcj1r3,iPhone 11,Teléfono móvil
140950,Aumento puntual,/trends/explore?q=/g/11bc6hq8w2&date=today+5-y&geo=CO,/g/11bc6hq8w2,Apple Store,Tema
132400,Aumento puntual,/trends/explore?q=/g/11fmb54kl5&date=today+5-y&geo=CO,/g/11fmb54kl5,Airalo,Empresa
108700,Aumento puntual,/trends/explore?q=/g/11ckkybzzq&date=today+5-y&geo=CO,/g/11ckkybzzq,WOM,Tema
107350,Aumento puntual,/trends/explore?q=/g/11jd9g0sn8&date=today+5-y&geo=CO,/g/11jd9g0sn8,iPhone 12,Teléfono móvil
104550,Aumento puntual,/trends/explore?q=/g/11kw4jfq8x&date=today+5-y&geo=CO,/g/11kw4jfq8x,5G,Tema
250,+250 %,/trends/explore?q=/m/05v_6d&date=today+5-y&geo=CO,/m/05v_6d,Movistar,Tema
80,+80 %,/trends/explore?q=/m/01c1r0&date=today+5-y&geo=CO,/m/01c1r0,Tarjeta SIM,Tema
70,+70 %,/trends/explore?q=/g/11bbrmp2j2&date=today+5-y&geo=CO,/g/11bbrmp2j2,Tigo,Tema
