value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/g/11hczw_m64&date=today+5-y&geo=CO,/g/11hczw_m64,eSIM,Tema
55,55,True,/trends/explore?q=/m/01c1r0&date=today+5-y&geo=CO,/m/01c1r0,Tarjeta SIM,Tema
20,20,True,/trends/explore?q=/m/027lnzs&date=today+5-y&geo=CO,/m/027lnzs,iPhone,Teléfono móvil
13,13,True,/trends/explore?q=/g/11bw1yz3m_&date=today+5-y&geo=CO,/g/11bw1yz3m_,Claro,Tema
12,12,True,/trends/explore?q=/g/11b6t1k1ml&date=today+5-y&geo=CO,/g/11b6t1k1ml,Tigo,Colombia
12,12,True,/trends/explore?q=/m/05v_6d&date=today+5-y&geo=CO,/m/05v_6d,Movistar,Tema
10,10,True,/trends/explore?q=/g/11bbrlh9_r&date=today+5-y&geo=CO,/g/11bbrlh9_r,une,Tema
6,6,True,/trends/explore?q=/g/1hc0gz_j3&date=today+5-y&geo=CO,/g/1hc0gz_j3,Movistar,Colombia
4,4,True,/trends/explore?q=/m/03p2pb5&date=today+5-y&geo=CO,/m/03p2pb5,Tigo,Empresa
4,4,True,/trends/explore?q=/m/0285lsf&date=today+5-y&geo=CO,/m/0285lsf,Claro,Colombia
4,4,True,/trends/explore?q=/g/11bbrmp2j2&date=today+5-y&geo=CO,/g/11bbrmp2j2,Tigo,Tema
4,4,True,/trends/explore?q=/g/11ptwy_c30&date=today+5-y&geo=CO,/g/11ptwy_c30,iPhone 14,Teléfono móvil
3,3,True,/trends/explore?q=/m/04st9hr&date=today+5-y&geo=CO,/m/04st9hr,Apple,Tema
3,3,True,/trends/explore?q=/m/0k8z&date=today+5-y&geo=CO,/m/0k8z,Apple,Empresa
3,3,True,/trends/explore?q=/g/11h7hw3b53&date=today+5-y&geo=CO,/g/11h7hw3b53,WOM,Colombia
3,3,True,/trends/explore?q=/g/11s9c6h69c&date=today+5-y&geo=CO,/g/11s9c6h69c,IPhone 14 Pro,Teléfono móvil
3,3,True,/trends/explore?q=/m/0gjkl&date=today+5-y&geo=CO,/m/0gjkl,Reloj,Complemento
3,3,True,/trends/explore?q=/m/01nn79&date=today+5-y&geo=CO,/m/01nn79,Samsung Electronics,Grupo multinacional
2,2,True,/trends/explore?q=/g/1q6h_chrj&date=today+5-y&geo=CO,/g/1q6h_chrj,Tarjeta de prepago,Tema
2,2,True,/trends/explore?q=/g/11np0c47tj&date=today+5-y&geo=CO,/g/11np0c47tj,IPhone 13,Teléfono móvil
2,2,True,/trends/explore?q=/g/11j66y_wh1&date=today+5-y&geo=CO,/g/11j66y_wh1,Holafly,Tema
2,2,True,/trends/explore?q=/g/11h_9xlndc&date=today+5-y&geo=CO,/g/11h_9xlndc,Apple iPhone 11,Teléfono móvil
2,2,True,/trends/explore?q=/m/03ffw1&date=today+5-y&geo=CO,/m/03ffw1,Código QR,Tema
2,2,True,/trends/explore?q=/g/1ym_05c8f&date=today+5-y&geo=CO,/g/1ym_05c8f,AT&T,Tema
2,2,True,/trends/explore?q=/m/0260dy&date=today+5-y&geo=CO,/m/0260dy,IMEI,Tema
