value,formattedValue,link,topic_mid,topic_title,topic_type
6834500,Aumento puntual,/trends/explore?q=/g/11j66y_wh1&date=today+5-y&geo=ES,/g/11j66y_wh1,Holafly,Tema
1287250,Aumento puntual,/trends/explore?q=/g/11hczw_m64&date=today+5-y&geo=ES,/g/11hczw_m64,eSIM,Tema
654700,Aumento puntual,/trends/explore?q=/g/11l203v20g&date=today+5-y&geo=ES,/g/11l203v20g,Holafly,Tema
221700,Aumento puntual,/trends/explore?q=/g/121tykg_&date=today+5-y&geo=ES,/g/121tykg_,Código descuento,Tema
214300,Aumento puntual,/trends/explore?q=/m/04wgh&date=today+5-y&geo=ES,/m/04wgh,Marruecos,"País, África septentrional"
197600,Aumento puntual,/trends/explore?q=/m/0hg5&date=today+5-y&geo=ES,/m/0hg5,Andorra,País en Europa
151950,Aumento puntual,/trends/explore?q=/m/06mzp&date=today+5-y&geo=ES,/m/06mzp,Suiza,País en Europa
148300,Aumento puntual,/trends/explore?q=/m/01znc_&date=today+5-y&geo=ES,/m/01znc_,Turquía,País en Medio Oriente
147300,Aumento puntual,/trends/explore?q=/g/11byl2mmhk&date=today+5-y&geo=ES,/g/11byl2mmhk,Vodafone Group Plc,Tema
126600,Aumento puntual,/trends/explore?q=/g/11fmb54kl5&date=today+5-y&geo=ES,/g/11fmb54kl5,Airalo,Empresa
87900,Aumento puntual,/trends/explore?q=/m/024j49&date=today+5-y&geo=ES,/m/024j49,Llamada telefónica,Tema
69950,Aumento puntual,/trends/explore?q=/g/11k6x0d2md&date=today+5-y&geo=ES,/g/11k6x0d2md,Airalo,Aplicación
