value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/g/11hczw_m64&date=today+5-y&geo=ES,/g/11hczw_m64,eSIM,Tema
47,47,True,/trends/explore?q=/m/01c1r0&date=today+5-y&geo=ES,/m/01c1r0,Tarjeta SIM,Tema
20,20,True,/trends/explore?q=/m/027lnzs&date=today+5-y&geo=ES,/m/027lnzs,iPhone,Teléfono móvil
13,13,True,/trends/explore?q=/m/0gjkl&date=today+5-y&geo=ES,/m/0gjkl,Reloj,Complemento
11,11,True,/trends/explore?q=/m/05v_6d&date=today+5-y&geo=ES,/m/05v_6d,Movistar,Tema
10,10,True,/trends/explore?q=/m/02d6ph&date=today+5-y&geo=ES,/m/02d6ph,Vodafone,Empresa
10,10,True,/trends/explore?q=/m/050k8&date=today+5-y&geo=ES,/m/050k8,Teléfono móvil,Tema
7,7,True,/trends/explore?q=/m/011smb42&date=today+5-y&geo=ES,/m/011smb42,Apple Watch,Reloj
7,7,True,/trends/explore?q=/m/0jd05&date=today+5-y&geo=ES,/m/0jd05,Orange,Empresa de telecomunicaciones
6,6,True,/trends/explore?q=/m/0k8z&date=today+5-y&geo=ES,/m/0k8z,Apple,Empresa
6,6,True,/trends/explore?q=/m/04st9hr&date=today+5-y&geo=ES,/m/04st9hr,Apple,Tema
6,6,True,/trends/explore?q=/m/04zjj11&date=today+5-y&geo=ES,/m/04zjj11,Samsung,Tema
6,6,True,/trends/explore?q=/m/0d7pp&date=today+5-y&geo=ES,/m/0d7pp,Tarjeta de crédito,Tema
5,5,True,/trends/explore?q=/g/11byl2mmhk&date=today+5-y&geo=ES,/g/11byl2mmhk,Vodafone Group Plc,Tema
4,4,True,/trends/explore?q=/g/11ghxv_p2n&date=today+5-y&geo=ES,/g/11ghxv_p2n,O2,España
4,4,True,/trends/explore?q=/g/11j66y_wh1&date=today+5-y&geo=ES,/g/11j66y_wh1,Holafly,Tema
4,4,True,/trends/explore?q=/m/07_80d&date=today+5-y&geo=ES,/m/07_80d,Yoigo,Empresa de telecomunicaciones
4,4,True,/trends/explore?q=/m/026sq&date=today+5-y&geo=ES,/m/026sq,Dato,Tema
3,3,True,/trends/explore?q=/g/11bc5c0m9f&date=today+5-y&geo=ES,/g/11bc5c0m9f,Tienda Orange,Tema
3,3,True,/trends/explore?q=/m/0nhjg44&date=today+5-y&geo=ES,/m/0nhjg44,Pepephone,Empresa
3,3,True,/trends/explore?q=/m/0280wht&date=today+5-y&geo=ES,/m/0280wht,Reloj inteligente,Tema
3,3,True,/trends/explore?q=/g/11cn9334_t&date=today+5-y&geo=ES,/g/11cn9334_t,Xiaomi,Tema
3,3,True,/trends/explore?q=/g/11f8ms27p1&date=today+5-y&geo=ES,/g/11f8ms27p1,Multi SIM,Tema
3,3,True,/trends/explore?q=/g/1q6h_chrj&date=today+5-y&geo=ES,/g/1q6h_chrj,Tarjeta de prepago,Tema
3,3,True,/trends/explore?q=/m/01nn79&date=today+5-y&geo=ES,/m/01nn79,Samsung Electronics,Grupo multinacional
