value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/g/11j66y_wh1&date=today+5-y&geo=ES,/g/11j66y_wh1,Holafly,Tema
22,22,True,/trends/explore?q=/m/01c1r0&date=today+5-y&geo=ES,/m/01c1r0,Tarjeta SIM,Tema
19,19,True,/trends/explore?q=/m/0d7pp&date=today+5-y&geo=ES,/m/0d7pp,Tarjeta de crédito,Tema
18,18,True,/trends/explore?q=/g/11hczw_m64&date=today+5-y&geo=ES,/g/11hczw_m64,eSIM,Tema
10,10,True,/trends/explore?q=/g/11l203v20g&date=today+5-y&geo=ES,/g/11l203v20g,Holafly,Tema
8,8,True,/trends/explore?q=/m/026sq&date=today+5-y&geo=ES,/m/026sq,Dato,Tema
6,6,True,/trends/explore?q=/m/01l_z9&date=today+5-y&geo=ES,/m/01l_z9,Descuentos y bonificaciones,Tema
6,6,True,/trends/explore?q=/m/014dsx&date=today+5-y&geo=ES,/m/014dsx,Viaje,Tema
6,6,True,/trends/explore?q=/m/01h1rl&date=today+5-y&geo=ES,/m/01h1rl,Itinerancia,Tema
5,5,True,/trends/explore?q=/m/03rlt&date=today+5-y&geo=ES,/m/03rlt,Internet,Tema
4,4,True,/trends/explore?q=/m/02d6ph&date=today+5-y&geo=ES,/m/02d6ph,Vodafone,Empresa
3,3,True,/trends/explore?q=/g/121tykg_&date=today+5-y&geo=ES,/g/121tykg_,Código descuento,Tema
3,3,True,/trends/explore?q=/m/04wgh&date=today+5-y&geo=ES,/m/04wgh,Marruecos,"País, África septentrional"
3,3,True,/trends/explore?q=/m/0hg5&date=today+5-y&geo=ES,/m/0hg5,Andorra,País en Europa
2,2,True,/trends/explore?q=/m/06mzp&date=today+5-y&geo=ES,/m/06mzp,Suiza,País en Europa
2,2,True,/trends/explore?q=/m/01znc_&date=today+5-y&geo=ES,/m/01znc_,Turquía,País en Medio Oriente
2,2,True,/trends/explore?q=/g/11byl2mmhk&date=today+5-y&geo=ES,/g/11byl2mmhk,Vodafone Group Plc,Tema
1,1,True,/trends/explore?q=/m/024j49&date=today+5-y&geo=ES,/m/024j49,Llamada telefónica,Tema
1,1,True,/trends/explore?q=/g/11k6x0d2md&date=today+5-y&geo=ES,/g/11k6x0d2md,Airalo,Aplicación
