value,formattedValue,link,topic_mid,topic_title,topic_type
8469900,Aumento puntual,/trends/explore?q=/g/11j66y_wh1&date=today+5-y&geo=MX,/g/11j66y_wh1,Holafly,Tema
1623950,Aumento puntual,/trends/explore?q=/g/11hczw_m64&date=today+5-y&geo=MX,/g/11hczw_m64,eSIM,Tema
1278750,Aumento puntual,/trends/explore?q=/m/01c1r0&date=today+5-y&geo=MX,/m/01c1r0,Tarjeta SIM,Tema
927250,Aumento puntual,/trends/explore?q=/m/02j9z&date=today+5-y&geo=MX,/m/02j9z,Europa,Continente
368600,Aumento puntual,/trends/explore?q=/g/11fmb54kl5&date=today+5-y&geo=MX,/g/11fmb54kl5,Airalo,Empresa
298150,Aumento puntual,/trends/explore?q=/m/026sq&date=today+5-y&geo=MX,/m/026sq,Dato,Tema
228000,Aumento puntual,/trends/explore?q=/m/014dsx&date=today+5-y&geo=MX,/m/014dsx,Viaje,Tema
186950,Aumento puntual,/trends/explore?q=/m/01l_z9&date=today+5-y&geo=MX,/m/01l_z9,Descuentos y bonificaciones,Tema
174200,Aumento puntual,/trends/explore?q=/m/03xcw&date=today+5-y&geo=MX,/m/03xcw,Circuito integrado,Tema
142300,Aumento puntual,/trends/explore?q=/m/02mz1d&date=today+5-y&geo=MX,/m/02mz1d,Reseña,Género literario
140000,Aumento puntual,/trends/explore?q=/m/01h1rl&date=today+5-y&geo=MX,/m/01h1rl,Itinerancia,Tema
113300,Aumento puntual,/trends/explore?q=/m/08z129&date=today+5-y&geo=MX,/m/08z129,AT&T,Empresa de telecomunicaciones
111100,Aumento puntual,/trends/explore?q=/m/02d6ph&date=today+5-y&geo=MX,/m/02d6ph,Vodafone,Empresa
88550,Aumento puntual,/trends/explore?q=/g/121tykg_&date=today+5-y&geo=MX,/g/121tykg_,Código descuento,Tema
